year,city,budget,population,province,autonomous_region
2011,Pontevedra,60716787.86,82400,Pontevedra,Galicia
2011,Salamanca,141885842.91,153472,Salamanca,Castilla y León
2011,Santa Cruz de Tenerife,202876570.99999997,222271,Santa Cruz de Tenerife,Canarias
2011,Santander,196615414.67,179921,Cantabria,Cantabria
2011,Segovia,67600435.0,55220,Segovia,Castilla y León
2011,Sevilla,829049096.75,703021,Sevilla,Andalucía
2011,Soria,55095000.0,39987,Soria,Castilla y León
2011,Tarragona,147669030.37000003,134085,Tarragona,Cataluña
2011,Teruel,40325446.14999999,35288,Teruel,Aragón
2011,Toledo,100101031.33000001,83108,Toledo,Castilla-La Mancha
2011,Valencia,738842575.41,798033,Valencia/València,Comunidad Valenciana
2011,Valladolid,279738347.0,313437,Valladolid,Castilla y León
2011,Vitoria-Gasteiz,425996585.10999995,239562,Araba/Álava,País Vasco
2011,Zamora,56633724.85999999,65525,Zamora,Castilla y León
2011,Zaragoza,703303397.0,674725,Zaragoza,Aragón
2012,Albacete,148580001.7,172472,Albacete,Castilla-La Mancha
2012,Alicante/Alacant,265349617.82999998,334678,Alicante/Alacant,Comunidad Valenciana
2012,Almería,178935510.56,191443,Almería,Andalucía
2012,Ávila,54041769.3,58915,Ávila,Castilla y León
2012,Badajoz,103827901.19999999,152270,Badajoz,Extremadura
2012,Barcelona,2561895795.1,1620943,Barcelona,Cataluña
2012,Bilbao,500196555.0,351629,Bizkaia,País Vasco
2012,Burgos,204958417.23000002,179906,Burgos,Castilla y León
2012,Cáceres,99192829.14,95668,Cáceres,Extremadura
2012,Cádiz,145951539.25,123948,Cádiz,Andalucía
2012,Castellón de la Plana/Castelló de la Plana,165376932.29,180204,Castellón/Castelló,Comunidad Valenciana
2012,Ciudad Real,67975250.24000001,74921,Ciudad Real,Castilla-La Mancha
2012,Córdoba,316478644.03999996,328841,Córdoba,Andalucía
2012,"Coruña, A",229842200.00000003,246146,"Coruña, A",Galicia
2012,Cuenca,55815290.43,57032,Cuenca,Castilla-La Mancha
2012,Donostia/San Sebastián,335702758.35,186409,Gipuzkoa,País Vasco
2012,Girona,97928800.0,97198,Girona,Cataluña
2012,Granada,262074361.21999997,239017,Granada,Andalucía
2012,Guadalajara,72111331.0,84803,Guadalajara,Castilla-La Mancha
2012,Huelva,151941778.85,148568,Huelva,Andalucía
2012,Huesca,50773865.46,52296,Huesca,Aragón
2012,Jaén,169029497.13,116731,Jaén,Andalucía
2012,León,134140940.0,131680,León,Castilla y León
2012,Lleida,154690333.92000002,139834,Lleida,Cataluña
2012,Logroño,145641000.0,153402,"Rioja, La",La Rioja
2012,Lugo,91915290.32999998,98457,Lugo,Galicia
2012,Madrid,4942020428.0,3233527,Madrid,Comunidad de Madrid
2012,Málaga,645545205.89,567433,Málaga,Andalucía
2012,Murcia,409397755.0,441354,Murcia,Región de Murcia
2012,Ourense,95783710.08999999,107597,Ourense,Galicia
2012,Oviedo,196706382.0,225973,Asturias,Principado de Asturias
2012,Palencia,84241452.0,81198,Palencia,Castilla y León
2012,Palma de Mallorca,433622834.84000003,407648,"Balears, Illes",Baleares
2012,"Palmas de Gran Canaria, Las",302904319.9,382296,"Palmas, Las",Canarias
2012,Pamplona/Iruña,191529546.0,197604,Navarra,Comunidad Foral de Navarra
2012,Pontevedra,65771300.0,82684,Pontevedra,Galicia
2012,Salamanca,143339904.49,152048,Salamanca,Castilla y León
2012,Santa Cruz de Tenerife,210252252.81,206965,Santa Cruz de Tenerife,Canarias
2012,Santander,191960969.39999998,178465,Cantabria,Cantabria
2012,Segovia,58281562.0,54844,Segovia,Castilla y León
2012,Sevilla,850564386.2,702355,Sevilla,Andalucía
2012,Soria,53535000.0,40147,Soria,Castilla y León
2012,Tarragona,153782308.0,133954,Tarragona,Cataluña
2012,Teruel,32313634.090000004,35841,Teruel,Aragón
2012,Toledo,93241510.0,84019,Toledo,Castilla-La Mancha
2012,Valencia,756083502.29,797028,Valencia/València,Comunidad Valenciana
2012,Valladolid,278350096.0,311501,Valladolid,Castilla y León
2012,Vitoria-Gasteiz,425996585.10999995,242223,Araba/Álava,País Vasco
2012,Zamora,60009449.61,65362,Zamora,Castilla y León
2012,Zaragoza,666785620.0,679624,Zaragoza,Aragón
2013,Albacete,143243753.65,172693,Albacete,Castilla-La Mancha
2013,Alicante/Alacant,257502925.72,335052,Alicante/Alacant,Comunidad Valenciana
2013,Almería,170721638.32,192697,Almería,Andalucía
2013,Ávila,51894496.34,59258,Ávila,Castilla y León
2013,Badajoz,105862228.42999999,150621,Badajoz,Extremadura
2013,Barcelona,2323938154.42,1611822,Barcelona,Cataluña
2013,Burgos,198340397.23000002,179097,Burgos,Castilla y León
2013,Cáceres,75941985.9,95925,Cáceres,Extremadura
2013,Cádiz,161145827.14000002,122990,Cádiz,Andalucía
2013,Castellón de la Plana/Castelló de la Plana,171923250.82999998,180185,Castellón/Castelló,Comunidad Valenciana
2013,Ciudad Real,68577000.0,74872,Ciudad Real,Castilla-La Mancha
2013,Córdoba,333727089.23,328704,Córdoba,Andalucía
2013,"Coruña, A",243100500.0,245923,"Coruña, A",Galicia
2013,Cuenca,53998333.36000001,56107,Cuenca,Castilla-La Mancha
2013,Girona,99665424.35,97292,Girona,Cataluña
2013,Granada,266923723.62,237818,Granada,Andalucía
2013,Guadalajara,73411623.0,84504,Guadalajara,Castilla-La Mancha
2013,Huelva,130933360.10000001,148101,Huelva,Andalucía
2013,Huesca,50373573.6,52418,Huesca,Aragón
2013,Jaén,175113462.26,116176,Jaén,Andalucía
2013,León,127809109.57000001,130601,León,Castilla y León
2013,Lleida,151838691.95,139809,Lleida,Cataluña
2013,Logroño,145600000.0,153066,"Rioja, La",La Rioja
2013,Lugo,94673797.63,98761,Lugo,Galicia
2013,Madrid,4564125024.0,3207247,Madrid,Comunidad de Madrid
2013,Málaga,623497677.3599999,568479,Málaga,Andalucía
2013,Murcia,392269060.0,438246,Murcia,Región de Murcia
2013,Ourense,97999647.47,107542,Ourense,Galicia
2013,Oviedo,233204000.0,225089,Asturias,Principado de Asturias
2013,Palencia,78702111.24,80649,Palencia,Castilla y León
2013,Palma de Mallorca,404020496.78,398162,"Balears, Illes",Baleares
2013,"Palmas de Gran Canaria, Las",302273207.35,383050,"Palmas, Las",Canarias
2013,Pontevedra,60114856.0,82934,Pontevedra,Galicia
2013,Salamanca,143914491.3,149528,Salamanca,Castilla y León
2013,Santa Cruz de Tenerife,229770657.0,206593,Santa Cruz de Tenerife,Canarias
2013,Santander,194145412.41000003,177123,Cantabria,Cantabria
